snippet,price change,News Sent.
"AfricanAmericans are going meatless in growing numbers, for reasons that range from politics to pop culture Months before a wave of scandals, creators like Aziz Ansari, Lena Dunham and Tig Notaro explored sexual abuse, particularly the role of the bystander Its planning to end net neutrality while opposing the Time Warner and ATT merger This doesnt make sense",neg,neg
"Ms Streisand takes her fans on a tour of the way she was in Barbra The Music  the Memries  the Magic Employees at several ecommerce companies recently acquired by Walmart are finding that their coverage will come at a far higher price At staff meetings held soon after the Meredith Corporation reached a deal made possible by Koch Industries, Time Inc employees have hard questions Ms Gerwig discusses Lady Bird, the film she wrote and directed And a new Smithsonian series delves into aviation innovations Is it possible to avoid having an artists biography influence the way we see his or her work Or does that excuse inappropriate and sometimes reprehensible behavior Her star turn in The Marvelous Mrs Maisel  the first major comedic role in her career  comes at a moment when its crucial to reclaim womens place in standup history We look at the messy public fight for control of the governments top consumer financial watchdog and at the deregulatory pressures it faces In acquiring the meetingorganization company, WeWork is seeking to again extend its business beyond office space into more facets of customers lives Rachel Brosnahan kills as a housewife in transition in this slowtodevelop but effervescent comedy about comedy, set in a stylized s Manhattan",pos,neg
"From the stylish to the tense, from the goodgood to the goodbad, theres something for everyone Balderton Capital has closed to new investors a new,  million fund dedicated to European technology startups, marking one of the years largest such capital raisings in the region, the company said on Monday US media company Meredith Corp said on Sunday it will buy Time Inc, the publisher of People, Sports Illustrated and Fortune magazines, in a  billion allcash deal backed by conservative billionaire brothers Charles and David Koch Weeks of deals didnt stop people from heading online to shop on the Monday after Thanksgiving Terrence Howard portrays a Memphis pimp with lofty dreams in Hustle  Flow And Le Havre sings a warm French immigrant song WalMart Stores Inc is within striking distance of matching Amazoncom Incs online prices for the first time, a key milestone in its effort to regain the low price leader title  WalMart Stores Inc is within striking distance of matching Amazoncom Incs online prices for the first time, a key milestone in its effort to regain the low price leader title  Heres what you need to know to start your day A string of armed robberies in the Midwest has led to what could be the most important case on electronic rights to go before the justices More business moguls come out against the Republicans latest stab at tax reform Germanys Delivery Hero reported a  percent jump in thirdquarter revenue on Monday, showing no let up in pace of growth of takeaway food apps Wall Streets major indexes ended little changed on Monday, retreating modestly from record highs set during the session, as gains for Amazon countered losses in shares of energy companies Cyber Monday was on track to become the biggestever internet shopping day in the United States as people snapped up bargains on toys and electronics, with many more buying from their phones",neg,pos
"The driest Thanksgiving weekend in five years may have helped holiday shopping, despite an overall decline in foot traffic But some shoppers just took notes in the hopes of finding an even better deal online Former adversaries see advantages in partnerships as they face the threat of interlopers like Amazon But will consumers benefit or face a lot less choice Accelerating glacial melt in the Andes caused by climate change has set off a gold rush downstream, letting the desert bloom But as the ice vanishes, the vast farms below may do the same Ambiguities in the yearold Outer Space Treaty may be getting in the way of entrepreneurs seeking opportunities elsewhere in our solar system Heres what you need to know to start your day Thousands of Indian sellers have shipped bedding, jewelry, kitchenware and clothing to Amazon warehouses to serve bargainhunting Americans US media company Meredith Corp said on Sunday it will buy Time Inc, the publisher of People, Sports Illustrated and Fortune magazines, in a  billion  billion pounds allcash deal backed by conservative billionaire brothers Charles and Though the image of the glamorous business traveler persists, doctors say that frequent travelers report a negative toll on their bodies, and that more research is needed",neg,neg
"Shares of Amazoncom Inc, Macys Inc, Kohls Corp and other US retailers rose on Friday on early signs that consumers are on track to spend more this holiday shopping season than in previous years  Following are five big themes likely to dominate thinking of investors and traders in the coming week and the Reuters stories related to them Ron Howards Beatles documentary has its broadcast debut And Denzel Washingtons adaptation of an August Wilson play streams on Amazon and Hulu The marketplace for makers had created a distinctive work culture Then Wall Street showed up Holiday shopping has already made the season merry for Amazon founder Jeff Bezos Parking lots were full and shopping bags were plentiful in some places Saturday as holiday giftseekers were out looking for bargains, even as the competition among retailers to offer earlier deals and snag customers first has pulled sales forward Economic policy driven by presidential pique Jennifer Gammell has turned the holiday shopping event into a tradition, with lines at Target and Toys R Us and a Thanksgiving buffet at Kings Hawaiian",neg,pos
"Technology stocks led the SampP  and Nasdaq to record closing highs on Friday, with the SampP ending above , points for the first time, while Amazon and retail stocks got a boost from signs of a strong start to the holiday shopping seas",neg,neg
"The Latest on Black Friday all times local US stores offered deep discounts, entertainment and free gifts to lure bargain hunters on Black Friday, the traditional start of the holiday retail season, but some shoppers said they were just browsing the merchandise, reserving their cash for ",neg,neg
"Retailers across Europe chased shoppers on Black Friday in a test of consumer demand, particularly in Britain, where the spending spree imported from the US looked set to outdo last year Shows and films caught up in harassment scandals have become radioactive, and the culture is wrestling with where to draw the line Workers at a half dozen Amazon distribution centers in Germany and one in Italy walked off the job Friday, in a protest timed to coincide with Black Friday to demand better wages from the American online giant",pos,neg
"US stocks set more records in quiet postholiday trading Friday as technology companies again did much of the heavy lifting Energy companies rose with the price of oil Retailers across Europe chased shoppers on Black Friday in a test of consumer demand, particularly in Britain, where the spending spree imported from the US looked set to outdo last year",pos,neg
"Retailers worked hard to attract shoppers to stores on Black Friday, offering inperson deals meant to counter the ease of shopping by phone on Amazon Indulge your s nostalgia with a new adventure of Hey Arnold Usher in the holiday season with Love Actually",pos,neg
"Some information technology companies are growing so concerned about their inability to find enough digital talent that theyre training their own An indigenous tribe that journeyed hundreds of kilometers to flee the economic crisis in Venezuela has been trapped in limbo near the border in Brazil, after it was moved off the streets of the Amazon city of Manaus In which we look back at our own rough drafts of history ",neg,neg
Doug Jones has had crucial roles in many of the directors projects this is the first time hes been the star  and a romantic hero at that,neg,neg
"Workers at Amazons main distribution hub in Italy are planning their first ever strike for Friday, trade unions said, while they are also striking at six warehouses in Germany, threatening to disrupt one of the years busiest shopping days Some information technology companies are growing so concerned about not find enough digital talent that theyre training their own",neg,neg
"Shoppers are hitting the stores on Thanksgiving as retailers under pressure look for ways to poach shoppers from their rivals Amazoncom Incs Australian arm began an ordertaking trial on Thursday, giving life to the hype which has preceded its arrival in the worlds No  economy and weighed on the shares of the brickandmortar retail sector Tech stocks remain the largest net sector exposure for equity hedge funds, which are set to deliver their strongest returns since , Goldman Sachs said on Wednesday in a note on the industrys most and least favoured areas of the market",neg,neg
"Young shoppers influenced by videos and social media are spending their money on eye shadow and lipstick, and brands like Ulta and Sephora are thriving Small companies, which have increasingly turned to the internet, worry that a payforplay system online could price them out of doing business Once the forks are put down for good, Americans will begin their holiday shopping in earnest Televisions promise to offer some of the best deals",neg,neg
"The Thanksgiving episode is a tradition all its own Our list of streamable classics offers something for everyone, from family reunions to reawakened vengeance demons Except for Amazon, most major retailers have scaled back plans for hiring temporary employees during the years biggest shopping season, and Walmart is adding almost none",pos,neg
"Donning leather and helmets sometimes, they roar along Libyas hairraising, potholed roads on carefully polished Harley Davidsons and Kawasakis Black Friday tends to be when prices for great TVs drop to their lowest But there are pitfalls, so we put together a playbook for how to snag the best TV for you Herrrrrres Paul Reiser Jamaicas government says it will protect nearly , hectares , acres in a northwest region dotted by mines that features forests, rivers and cultural sites Britain announced measures on Wednesday to tackle tax avoidance by tech giants and to hold online marketplaces like eBay and Amazoncom accountable for tax evasion via their platforms Tech stocks remain the largest net sector exposure for equity hedge funds, which are set to deliver their strongest returns since , Goldman Sachs said on Wednesday in a note on the industrys most and least favored areas of the market With Black Friday having stretched into a November full of deals, stores will be stepping it up as holiday shopping begins in earnest",neg,pos
"Battered by ecommerce competition, Macys real estate is now worth more than its market value And the company has been selling off parts or all of its most distinctive buildings Amazoncom Inc has told its Australian sellers to be ready to take orders on Nov , according to a retailer, the first time the global retail juggernaut has given a start date for sales in a country Billy Crudup is having a blast as a Midwestern sad sack and his English alter ego in David Cales oneman, doublelife play at the Vineyard Amazoncom Inc has told its Australian sellers to be ready to take orders on Nov , according to a retailer, the first time the global retail juggernaut has given a start date for doing business in the world No  economy After suffering their biggest decline in sales volumes for fourandahalf years in October, British retailers are pinning their hopes on Black Friday discounts to get shoppers spending again  Mr Mugabe has resigned as president of Zimbabwe after nearly four decades in power Will he be remembered as a tyrant, or as a hero",neg,neg
"A rollback of net neutrality regulations would represent a significant victory for companies like ATT and Comcast and would amount to a strike against consumers The European Union has agreed a plan obliging online retailers operating in the bloc to make electrical goods, concert tickets or car rental available to all EU consumers regardless of where they live Some European Union members are resisting EU plans to raise the tax bill of tech multinationals, EU draft documents seen by Reuters show, in moves that are likely to cause a public outcry after several disclosures of corporate tax avoidance scheme With everyone hopping on and off the couch, its not the best time to start a particularly involved series Heres a collection of holiday albums reviewed by The Associated Press For you and me, the Federal Communications Commissions plan to repeal net neutrality rules can be boiled down to two questions What might happen And who do you trust",neg,neg
"The head of the US Federal Communications Commission unveiled plans on Tuesday to scrap landmark  rules intended to ensure a free and open internet, moving to give broadband service providers sweeping power over what content consumers can ac",neg,neg
"Skype, Microsoft Corps internet phone call and messaging service, has disappeared from app stores in China including that of Apple Inc, indicating the latest setback for a foreign tech service in the country After suffering their biggest decline in sales volumes for fourandahalf years in October, British retailers are pinning their hopes on Black Friday discounts to get shoppers spending again  In a departure from the days when tech firms preferred old converted warehouses, they are now moving into newer highend offices",neg,neg
The business community is buzzing about the FCCs plan to dismantle net neutrality regulations and the Justice Departments lawsuit to block ATTs bid for Time Warner Have you been paying attention to the headlines this week Take our question quiz and see,neg,neg
"While standup comedy remained largely the province of men through the s and s, a few women had begun to appear on club stages and late show couches In the Marvelous Mrs Maisel, the creator of Gilmore Girls introduces another brainy, mouthy heroine, this time in the maledominated comedy world of the s Tencent Holdings Ltd has racked up some impressive gains this week  becoming the first Chinese firm to be worth more than  billion  billion and surpassing Facebook to be the worlds fifthmost valuable company Theres a growing sense that Congress is, for many women, a hostile workplace Senator Kirsten Gillibrand is trying to change that",neg,neg
"The onetime gatekeeper of Chinas internet, who purged Chinas social media of its most beloved personalities, has been detained and is under investigation The company has carved out a lucrative niche by securing valuable licensing rights and moving quickly to capitalize on surges in fan demand Our devices consume our time and dilute our social interactions In a sweeping proposal to be revealed on Tuesday, Ajit Pai, the chairman of the FCC, is preparing to scrap the net neutrality rules, said people familiar with the plan Chinas biggest social network and gaming firm Tencent Holdings, which last week reported forecastbeating quarterly results, is close to making Malaysia the first foreign country to roll out its WeChat ecosystem, an executive told Reuters A new Agatha Christie adaptation streams ahead of its theatrical release And a documentary miniseries explores the death of the rapper Tupac Shakur Asian stocks rose Wednesday after Wall Street hit new highs ahead of the twoday US break for the Thanksgiving holiday",neg,neg
"Many of the countrys more than , temporary foreign workers make less than minimum wage but feel they cant complain, a new survey showed Streaming services have more stage offerings than ever  from great actors in early roles to recent Broadway musicals, captured live Plus Hamlet in Lithuanian Mr Tambor denies the allegations, but said he could not return to the show given the politicized atmosphere that seems to have afflicted our set Jeffrey Tambor, the Emmywinning star of the Amazon web series Transparent, said on Sunday he did not see how he could return to the show next season after a second person leveled allegations of sexual harassment against him David Lettermans prize ceremony has Alist guests And Baltimore Rising paints a portrait of the city after the death of Freddie Gray In August, a dozen inventors gathered around a fire pit outside the headquarters of the US Patent and Trademark Office in Alexandria, Virginia, and set alight patents they said had been rendered worthless by an overreaching federal government  In August, a dozen inventors gathered around a fire pit outside the headquarters of the US Patent and Trademark Office in Alexandria, Virginia, and set alight patents they said had been rendered worthless by an overreaching federal government ",pos,neg
"The Justice Department plans to file a lawsuit aimed at blocking ATTs  billion bid for Time Warner French retailer Auchan AUCHUL said on Monday it had not been approached by Ecommerce giant Amazon about deals or partnerships in Europe, with speculation still rife that Amazon may be eyeing European transactions Monday Crews in white protective suits are clearing wildfire debris, Charles Manson dies, and get ready for turkey trots and Thanksgiving dinners Chinas biggest social network and gaming firm Tencent Holdings, which last week reported forecastbeating quarterly results, is close to making Malaysia the first foreign country to roll out its WeChat ecosystem, an executive told Reuters Amazon goes into the holiday season with a newly magnified brickandmortar presence, giving it more opportunities to sell its Kindle ereaders, Fire tablets and other gadgets BlackRock Inc is turning to the robots for its next big investment idea",pos,pos
Beijing has fully embraced the concept  but in ways that show just how cynical it can become Republican lawyers and lawmakers are working together to install conservative judges at a rate not seen in decades,neg,neg
"Welcome to the latest edition of the Smarter Living newsletter This fall, the balance of that power has shifted, with exhilarating, destabilizing results",neg,neg
"Funding and startups are concentrated on the coasts, especially in California But there are signs of an entrepreneurial awakening in the heartland, where talent is rich but prices arent Following two allegations of sexual harassment against him, actor Jeffrey Tambor says he doesnt see how he can return to the Amazon series Transparent Corrections appearing in print on Sunday, November ,  Starting next year, girls can decide whether to become a girl scout or a boy scout But a handful of girls  kind of secretly  have already made that decision",neg,neg
"The Latest on sexual harassment allegations against celebrities and media all times local Department stores and other retailers struggling to beat back ecommerce are taking cues from online startups by experimenting with small showrooms Apple had said its HomePod speaker, a response to Amazons Echo, would debut this year Now it wont be released till early next year The AndMe CEO talks about office dcor and FiveFinger toe shoes, among other things Once sold in seedy bookstores, sex toys are now a chic, Made in America business, instilling customers with brand loyalty",neg,neg
"Apple Inc has pushed the launch of its HomePod smart speaker to early next year from December, the company said on Friday, missing the holiday shopping season as the market for such devices becomes increasingly competitive Apply to win a reporting trip to the developing world Since The New York Times published allegations of sexual harassment and assault against Hollywood mogul Harvey Weinstein in October, multiple men in entertainment, media and politics in the US and beyond have faced allegations ranging from inapp",pos,neg
"Will companies invest their cash windfall from the Republican tax plans Also, the Murdochs are in talks with suitors interested in pieces of their empire But will they sell Shares of sports retailers soared on betterthanexpected earnings from Foot Locker Inc, Shoe Carnival Inc and Hibbett Sports Inc as the companies sold more premium shoes and cut stocks of lowmargin ones The holidays are replete with streaming movies for and about Christmas, but what options does a movie lover have for the day that kicks off the season",pos,neg
"When Transparent debuted four years ago on Amazon with a transgender lead character, it was a special moment for TV It won Emmys and seemed a perfect fit for a burgeoning civil rights movement Now the shows future may be in flux following all Discounting and the relative ease of etail orders help the socalled gray market to thrive Arlie Russell Hochschild reviews Jessica Bruders book about senior citizens who live out of RVs and work lowwage jobs In Part  of our look at the USled fight against ISIS, the survivor of an airstrike sets out to learn why his home was targeted",pos,neg
"Just in time for the Black Friday kickoff to holiday season shopping, stock market investors have been handed tools to bet on the decline of brickandmortar retail Amazoncom will exclusively stream  top mens tennis tournaments from  to its Amazon Prime Video subscribers in Britain and Ireland after it won the ATP broadcast rights from payTV group Sky George Clooney will make his return to television in a serialized adaptation of Catch, Paramount Television said  on Thursday, nearly  years after he left hit show ER to become one of films biggest names The online retailer is a rarity A startup that has been profitable But investors will have to decide if it can compete with the ecommerce behemoth",neg,neg
"British explorer Benedict Allen, who failed to return on schedule from an expedition in Papua New Guinea, has been found safe in the mountainous jungle nation Using The Times to celebrate one of the English languages greatest novelists",neg,neg
"A British explorer reported missing while searching for a remote tribe in Papua New Guinea has been spotted next to an airstrip and is awaiting evacuation, a friend said on Thursday  Best Buy Co on Thursday reported a boost in thirdquarter profit and sales, but its results and outlook fell short of Wall Street expectations The Justice Department is favoring divestiture, meaning CNN might have to go But experts say many concerns can be addressed with conduct remedies",neg,neg
"An activist investor has proposed taking Barnes amp Noble private but the company does not consider the offer genuine, the book chain said Thursday Its shares soared on the report The Justice Departments new antitrust chief Makan Delrahim laid out the principles that could guide a suit to block ATTs acquisition of Time Warner WalMart Stores Inc reported betterthanexpected US comparable sales on Thursday, as customers stocked up on food and other supplies ahead of hurricanes and online purchases soared, sending its shares up more than  percent A surging online business and strong food sales boosted Walmarts results Thursday ahead of the holiday season, a day after its rival Target offered a cautious forecast that overshadowed progress it has made in bringing more customers to its store",neg,neg
"Whether you plan to get in line or shop from home, here are ways to beat the marketing madness One in three tech companies in London have seen talks with potential international hires fall through due to Britains decision to leave the European Union, according to a survey from industry body Tech London Advocates  For Seattle, Amazon has become far more than a big employer and taxpayer The USled air campaign been hailed as the most precise in history But its civilian death toll has been far higher than anyone has acknowledged The proposal will not hurt competition or consumers The Justice Department has no solid antitrust reasons to block it",neg,neg
"After a bitter dispute, Nelson Peltzs firm announced that a vote count showed that Mr Peltz had been elected to Procter  Gambles board of directors, despite previous preliminary counts Most thirdparty sellers on Amazon do not collect sales tax States, thirsty for the millions of dollars in unpaid revenue, are coming for the money Choose between a Daredevil spinoff, a comedy starring Jenny Slate, a tender romantic drama and more this weekend Billionaire entrepreneur and potential presidential candidate Mark Cuban said on Wednesday that a cut in the US corporate tax rate would have little to no effect on his investment decisions",neg,neg
"The partys Senate candidate in Alabama has called sexual misconduct accusations against him a Democratic plot The majority leader urged him to quit The federal bankruptcy court in Virginias capital moves quickly, has expert judges and legal precedents that are favorable to companies, and a reputation for approving huge fees for lawyers Katie Benner, a technology writer for The Times, uses more than a halfdozen messaging apps to keep up with sources There are upsides  and downsides  to this The attorney general denied lying to Congress about Russian contacts and sidestepped questions about feeling pressure to investigate Hillary Clinton",neg,neg
"Companies are making a fortune by using personal data gleaned from the internet They would barely notice a  percent tax, but it could make a better world Managing rapid change wrought by politics, technology and social media is testing the business worlds best and brightest Despite bankruptcies and closures of some major retail stores, others, especially retailers like Target and the parent of TJ Maxx, are expanding",neg,neg
"Virtual reality is being used to test new airline cabins, and one airline is using facial recognition for boarding passengers on a flight The attorney general refrained from offering his view on the proposed deal, as the Justice Department weighs whether to sue to block the transaction",neg,neg
"The House speaker, Paul D Ryan, says the Republican plans would help the middle class But that assumes that savings for the wealthy would percolate through the system With fewer cultural hurdles and more financial incentives than car owners, bigrig operators are charting the route to an autonomous future For campaign managers like Kathryn Sorenson, much of their job was simply channeling the enormous wave of energy that came their way",pos,neg
"The shopping extravaganza  Chinas version of Black Friday and Amazons Prime Day  was a test of logistics networks and retail innovations Since the Harvey Weinstein scandal, a number of highprofile men have resigned, been fired or experienced other fallout after accusations of sexual misconduct The new wave of artificial intelligence will reduce jobs, but will also improve your health and products like your smartphone The question, always a driving force in fashion, has become even more meaningful in todays unpredictable environment Amazon announced on Monday that it has retained the rights to adapt JRR Tolkiens Lord of the Rings for television for its Prime streaming service",pos,neg
"With the streaming service determined to find the next Game of Thrones, three quirky comedies about contemporary women may represent an endangered species More than  years after her death, Agatha Christie is having a moment Mr Westwick, who has been accused of rape by two women, has vehemently denied any sexual misconduct The golden age of television isnt always so shiny ",pos,neg
"Martine Ali, a Brooklyn jewelry designer, got her start as an intern at DKNY, where her homemade silver pieces got noticed The department store retailers efforts to purge inventory and stores helped push samestore sales in the third quarter far higher than expected",pos,neg
"Some films open on the big screen and on Netflix at the same time Then there are the others As the powerful comedian found success by talking about his hangups, he was also asking female comics and coworkers to watch him masturbate The chief executive of ATT said selling CNN in order to push through his companys acquisition of Time Warner will never be on the table The Trump administration is correct in taking a hard look at the proposed takeover, which could discourage competition and hurt consumers Foo Fighters rock a historic theater in Athens And the candid comic Maria Bamford returns for a second season of Lady Dynamite Mr Bannon, a former Trump adviser, discusses the future of the Republican Party, white nationalism and more in an interview with The Times In this weeks tech newsletter, Farhad Manjoo and Mike Isaac delve into how driverless cars are getting more driverless and the complexities of ATTs deal for Time Warner Roy Moore  and John McCains moral clarity The release of the comedians new film, I Love You, Daddy, was canceled, while FX, home to his TV series, ended its association with him",neg,pos
"We held our annual DealBook conference on Thursday, which featured a lineup of some of the biggest newsmakers in business and policy, including the CEOs of Uber and ATT The department store chain reported its th straight quarterly sales decrease But an uptick in profit helped drive up the companys stock Had the asteroid that doomed dinosaurs crashed nearly anywhere other than the coast of Mexico, they might not have gone extinct, researchers say",neg,neg
"We talk with President Trumps former chief strategist, and look at why a mass shooting could make Texas friendlier to guns",neg,neg
"Teenage bounty hunters in a virtualreality world, Amazons in New York City, vicious unicorns and other good guys gone bad",neg,neg
"A murder trial after the death of a yearold described by his mother as gender fluid has become part of the national debate over gender identity As connectivity has improved, political talk on social media and digital picturetaking can provoke suspicion, or worse, our Cairo bureau chief says Jaron Laniers house and his new book, Dawn of the New Everything, are both crammed full of strange and mesmerizing stuff A bold comedy, an inspiring musical and an unexpected comingofage story Weve got you covered CNN is at the heart of a dispute between the Justice Department and ATT and Time Warner, raising the possibility of interference by President Trump Its very name was synonymous with the thcentury economy Now its trying to catch up with Silicon Valley on selfdriving cars",neg,neg
"Now that the Murdochs have signaled an openness to selling assets, expect a host of potential suitors to try and persuade them to revive deal talks The warning is an aggressive move by the British satellite giant to win regulatory approval for a deal that has been under review for nearly a year Heres what you need to know to start your day Bill de Blasio has begun discussing the formation of a new source to pay for future political activities, possibly outside New York What happens to roadkill or traffic tickets when our vehicles are in control How will sex, death and liability change on the road to the driverless revolution",pos,neg
"A debut by Greg Poulos Damnation, a Depressionera drama, premieres on USA And The Long Road Home examines an ambush on US troops in Baghdad We look at why a domestic violence conviction did not stop Devin Kelley from buying weapons, and at how the presidents comments can influence court rulings Tuesday How to vote in todays general election, and new suffragist statues",pos,neg
"Markets are breaking one record after another, but many investors are on the sidelines The anxiety is a contrast to the euphoria of other bull markets Google and others, fighting for a small pool of researchers, are looking for automated ways to deal with a shortage of artificial intelligence experts The tech giant has found a tax haven in the island of Jersey, leaving billions of dollars untouched by the United States, leaked documents reveal A John Coltrane documentary has its premiere on PBS And Rolling Stone Stories From the Edge celebrates the magazines th anniversary At least  people were killed during morning services at the First Baptist Church in Sutherland Springs   percent of the towns population The service, including sameday delivery in big cities like New York and San Francisco, is being offered as Amazon considers getting into the pharmacy industry After the popular television series ended, everyone was waiting for his next TV show Instead, he wrote a novel If youre a fan of Britishsweater shows, Margaret Atwood or parodies of NPR, youre in luck Heres what you need to know to start your day The two media companies are no longer talking, but a deal, which may still be in the works, would make sense for Disney, analysts said In one of the most provocative Modern Love columns, Ayelet Waldman dared tease out the nuances of romantic versus maternal love Then Oprah got involved Four executives at major streaming services said they did not expect Reputation to be made available for streaming, at least at first",pos,neg
Jordan Peeles comic horror film airs on HBO And the latest season of Its Always Sunny in Philadelphia streams on Hulu A behindthescenes support system in the workplace is gaining momentum in a digital age that allows women to share their experiences publicly,neg,neg
"Small businesses and private equity firms are among those who lose from the Republican bill, while multinational corporations are among those who win Graduate programs in STEM have the highest percentage of international students of any broad academic field Why dont the locals bother A special election in Washington State could give Democrats a free hand to enact liberal policies, including on climate, across the entire West Coast",neg,neg
"The documentary centers on the pink river dolphin, which lives in the Amazon, and on two men who are struggling to save the species Whats really behind fashions  and womens  love of concealing clothes Almost  million people watched the first episode of the new season within three days, on par with the audience for some of broadcast TVs most popular shows A retiring editor reflects on three decades of education coverage and the issues that endure A Marine attacked an Iraqi restaurant in Oregon But what constitutes a hate crime, and how does the legal system treat combat veterans",neg,neg
"The man charged over the New York truck attack entered the United States through a lottery program for diversity President Trump has pushed to cancel it Thursday Dodgers come up short in Game , photos of life in s Bay Area suburbia, and the battle against outdoor smoking The ecommerce giant posted strong results for its most recent quarter but still faces challenges that include growing outside of its core business",pos,neg
" The enthusiasm for science education rests on the assumption that these fields are flush with opportunity Physicists, go digital  Technologists once told us that social bots would change our lives forever They were right  but not in the way they expected What if its not that bad that so much economic, social and political power is held by Apple, Amazon, Google, Facebook and Microsoft We look at the Russia investigation, internet giants hearings on Capitol Hill, and the terrorist attack in Lower Manhattan Apples newest iPhone takes a big leap from past models by shedding a home button and including a face scanner And remember the price  This month will feature an especially impressive lineup of new shows, with an abundance of big and promising names attached",pos,neg
