date,snippet
2017-03-22,"The church is holding a congress in Rome on protecting children from online abuse, but with a new scandal involving a priest, the timing is awkward New designs are partly a backlash to wideopen floor plans and include a palette of places, meaning that people dont sit in just one spot"
2017-03-23,"If it has been quite a while since you bought new hardware and software, make sure you can open files in ancient formats on your new computer"
2017-03-24,"The rapidly growing Brasil Game Show, scheduled for next month, illustrates how important the industrys overseas markets have become Microsoft Edge can keep the web pages and ebooks youve saved up to date on your other Windows  devices"
2017-03-26,"If you want a mobile mail program with more textformatting capabilities than Microsofts Outlook for Android, you dont have to look far"
2017-03-28,"Nathan Myhrvold and Francisco Migoyas mythbusting new book, Modernist Bread, is a call for bakers to experiment and innovate"
2017-03-31,"IBM has shifted its center of gravity halfway around the world to India, making it a hightech example of the globalization trends that the Trump administration has railed against The SpaceX founder insists that he can ferry cargo into space and fly people anywhere in the world in less than an hour, and make money doing it If youre being nagged about reaching your online storage limit, you can add on to your room in the cloud for as little as a dollar a month"
2017-04-01,"Few companies commented on the protests at all, and those that did stuck to bland statements of support for American values If you dont have a smartphone around all the time for getting twostep verification codes, you can get those digits by voice or paper"
2017-04-02,"President Trump and Congress are turning their legislative focus to a sweeping change of the tax code A  percent corporate rate is among the proposals During an interview with The New York Times at a TimesTalks event, Microsoft CEO Satya Nadella said that women in the technology industry have a lot of distance to make up"
2017-04-03,"With the tech industrys increasing dominance, Jason Calacanis, a tech investor, offers a radical guide for prospering betting on more of it"
2017-04-04,Many of the countrys largest technology companies pledged Tuesday to help finance an initiative meant to prepare American students for careers in socalled STEM fields Investment and jobs from the repatriation of profits held abroad have been promised in the past But the incentives to executives will need to change Satya Nadella said Silicon Valley had a significant distance to cover in offering equal opportunities for female workers
2017-04-09,"Microsoft Word comes with many sample document templates, but you can also create your own custom letterhead"
2017-04-10,"The couple met at Cornell, from which both graduated with honors Even as Mexico City begins to recover and normal rhythms return to its streets, the psychic damage lingers"
2017-04-11,"Apple has generated more wealth for shareholders than any other of the top  companies, which account for  percent of stock market wealth"
2017-04-12,"Not all coders are from the millennial generation  older people, some of them retired or semiretired, are also learning technical languages"
2017-04-14,"Many online services now offer three levels of picture quality for videos, but be sure to choose the best one for your device Meeting at the UN, the officials challenged Silicon Valley to keep terrorists from recruiting on the internet The companies said they were trying"
2017-04-15,"On the sidelines of the United Nations General Assembly, business leaders schmooze with diplomats  and one another  at private dinners and opulent events"
2017-04-16,Its move to hire HTC engineers is intended to improve competition with Apple and Samsung But the tech giants previous foray into handset making did not go so well
2017-04-18,"Nominees and guests alike chose necklines dropping almost down to the waist, or dresses slit at the hip Microsofts mobile version of Outlook for the Android platform doesnt offer textformatting options, but it does manage your mailbox Poor nations get high marks for meeting important goals But the Gateses warn that deep aid cuts and donor fatigue still could doom millions Hubert Joly, Best Buys chief executive, has reshaped nearly every aspect of the business He explains the playbook behind the companys success In a symbolic passing of the guard, Mr Clinton will be the first speaker Wednesday at the Bloomberg Global Business Forum As reefs die off, researchers want to breed the worlds hardiest corals in labs and return them to the sea to multiply The effort raises scientific and ethical questions"
2017-04-19,"If you need a break from the constant stream of alerts, notifications and calls, check your devices settings for a Do Not Disturb feature Tastes are changing, and few collectors fill their homes from floor to ceiling with antiques anymore What does it mean for the grand fair New technologies are testing the limits of computer semiconductors To deal with that, researchers have gone looking for ideas from nature At the Emmys, Mr Spicer made light of his tenure as press secretary In an interview, he said he regretted his infamous briefing on the inaugural crowd size"
2017-04-21,"An aerospace consultant, advice columnist, blogger and bestselling author And maybe the first to write a novel on a wordprocessor"
2017-04-22,"The average fastball was  mph in  Now its nearly  A big fastball doesnt guarantee a pitchers success, but without it, he may be ignored A community development specialist employed by Microsoft tries to help people, especially children, while using the companys products"
2017-04-23,"Nick Wingfield, a New York Times technology reporter who writes about Amazon and Microsoft, discusses the tech hes using"
2017-04-24,"At McVays age, most current head coaches were unheralded assistants Three were playing football One was selling IBM software If Microsofts choice in typefaces doesnt align with your tastes, you can change your default font for new documents"
2017-04-25,"Reid Hoffman, who founded LinkedIn, is funding groups to create a bulwark against Mr Trumps agenda Whether his startup approach is effective is unclear A spreadsheet created by employees to share salary information shows pay for women is falling short of what men make at various levels"
2017-04-26,"Once again, the tech industry tried to get the president to change his mind Once again, they failed Plus a look at the weeks other tech news"
2017-04-27,"Many of those who care for older Americans are lowwage immigrants, and replacing them could prove difficult and costly for families and taxpayers The online retail giant said it is seeking a location in North America for a new complex that would cost as much as  billion to build and operate"
2017-04-28,"Buying a trophy asset as the city rebuilds after Hurricane Harvey makes for awkward timing And yet the investment suggests an abiding faith in a recovery A group of  Democratic attorneys general have filed suit in New York, claiming that Mr Trump had improperly upended the policy known as Deferred Action for Childhood Arrivals Members of Congress offer warm words for the Dreamers The words are meaningless unless Congress acts A mandated reexamination of a  billion fine against the chip maker is a blow to Europes tough stance against American technology giants"
2017-04-29,"Major stock markets havent reacted strongly to the latest belligerence from North Korea, but several top fund managers are watching with fear"
2017-04-30,Business leaders objected to President Trumps decision to end Obamaera protections for children who entered the country illegally
2017-05-01,"Focusing on core competence and outsourcing the rest has made US companies lean, nimble and productive It has also left lots of people worse off While covering Silicon Valleys influence on schools, Natasha Singer, who comes from a long line of teachers, found that students had mixed feelings about classroom technology The earnings report comes as the company faces an increasingly competitive landscape with more children using mobile devices for entertainment"
2017-05-02,"As teachers launch personal brands and cast themselves as influencers, startups and tech giants alike are racing to cultivate them to spread their wares A new movie, Toilet, a Love Story, has charmed audiences at a time when the government is trying to bring plumbing to the half a billion Indians without it"
2017-05-03,"The devices are poised to get smarter as advances are made in scanning D objects like your face Two tech reporters analyze the weeks big tech news, including Ubers surprising new CEO and how Amazon might change Whole Foods Business leaders posted an open letter to President Trump asking him not to end a popular immigration policy, but it isnt clear whether hell listen"
2017-05-05,"Heres what you need to know to start your day In an unusual partnership, Amazon and Microsoft are working together to extend the abilities of their voicecontrolled digital assistants"
2017-05-06,Republicans are promising to stimulate investment and create jobs But steps to undo tax dodges may not produce the intended economic lift
2017-05-08,"Dont expect him to become a politician, but the Apple CEO sees gaps in governmental social policies that he believes companies like his are obliged to help fill The former Goldman Sachs executives are leading the plan to overhaul taxes But their ambitions appear to be shrinking, and lawmakers are worried"
2017-05-09,This explosion in interest is prompting concerns that investors may not be truly aware of what they are getting into
2017-05-10,"With the disruption of cable and broadcast distribution, the company is betting that a directtoconsumer model will be a new path to revenue growth For those with hearing difficulties, your mobile device likely has easeofaccess features to help with notifications and more The Japanese conglomerate continues a run of making outsize bets on an array of startup companies The sentencing of Lee Jaeyong to five years in prison for bribery and embezzlement may finally mean a true crackdown on South Koreas conglomerates Under its cofounder Travis Kalanick, Uber set out to revolutionize modern transportation Its new CEO may have a smaller, less risky vision Mr Khosrowshahi has many tasks ahead of him, including repairing Ubers internal culture and preparing the company for a selfdriving future"
2017-05-11,A city councilman is pushing to make public the code behind city decisions on everything from school assignments to trash collection
2017-05-12,"The venture capital firm Benchmark spent years as a lowprofile backer of startups Now, its trying to challenge Uber A search team led by Paul G Allen, a founder of Microsoft, found the Navy cruiser, whose sinking is among the worst disasters in American naval history Heres what you need to know to start your day The arrival of Apple, Facebook and Google means that the hypercompetitive world of scripted TV is going to become even more ferocious There are similarities between how Islamists and white nationalists operate online, researchers said Those can be used to limit recruitments reach"
2017-05-13,"Heres what you need to know to start your day If you find that Microsoft Office programs have grabbed the wrong name to use for your document comments, you can correct the record Heres what you need to know to start your day Chinas Alibaba and Tencent have rocketed this year to become global investor darlings, inching up on Facebook and Amazon, as their sway in China grows"
2017-05-14,"The chief executive of a cybersecurity firm says that adding more employees too quickly can erode the foundations of company culture Project Magenta, a team at Google, is crossbreeding sounds from different instruments based on neural networks and building networks that can draw Microsoft is building gliders that adapt to surprises The goal is to teach autonomous vehicles of all sorts to deal with uncertainty the way humans do Microsoft is building an autonomous glider guided by artificial intelligence, part of an effort to help machines make decisions when faced with uncertainty For the first time, an actual witness has emerged in the election hacking, and he has been interviewed by the FBI"
2017-05-15,"With just days left in a special legislative session, supporters of transgender restrictions are pessimistic about the chances of legislation in the face of business opposition Setting up twofactor authentication for your online accounts means a little extra work but more security, and you have more than one way to do it Women cant afford to wait for the industry to police itself An IsraeliGerman artist fed up with racist, antiSemitic slurs on Twitter throws them back at the social media giant"
2017-05-16,"A British security researcher, credited with stopping the spread of malicious software in May, was arrested in connection with a separate attack If you have Microsoft Word fixing text just the way you like it, you can take your personal correction collection with you to a different computer Political organizing is tedious Change comes with dogged, ontheground work, not a list of demands, according to Harvard Resistance School Republicans say regulations hurt business So why are they so intent on imposing big new regulations on immigration Every decade experiences an unrealistic stock market mania, and it feels like we might be deep into one now Qualcomm is providing the money, expertise and engineering to help drive Beijings master plan to create its own technology superpowers If youd rather dictate instead of type, and talk instead of click, check out the speechrecognition tools in Microsofts operating system"
2017-05-17,"As the Trump administration takes on Beijing over intellectual property, global trade rules could favor China The move could help spur more companies to abandon the billable hour method of charging for legal services The company, whose stock hit a record Wednesday, is leaning on the  billion iPhones it has sold to push other products and services Heres what you need to know to start your day The threats to elections have never been more serious, and the security of election machinery has never been more important"
2017-05-18,Wall Street hit a new threshold as money continued to flow into stocks and exchangetraded funds But the dollars fall has been a nearmirror image
2017-05-19,"What if the problem we face is not too many blackhat hackers, but too few whitehat ones The fall season traditionally brings new fashion, movies and books, and Microsoft has fresh software on the way, too"
2017-05-20,"The American companys local partner tells customers not to offer ways to dodge Chinas internet filters, as a new cybersecurity law takes effect If you prefer a different web browser than the one that came with your system, you can change the default settings The investigation, focused on alleged intellectual property violations, marks a shift in policy toward Beijing after President Trump had emphasized greater cooperation"
2017-05-21,"When the city south of Seattle was the first to pass a anhour requirement, critics said it would drive business away But business is thriving"
2017-05-22,"In hiring Richard Sherlund as a partner in San Francisco, the boutique investment bank wants to show traditional companies how technology is set to disrupt them"
2017-05-24,Welcome to the latest edition of the Smarter Living newsletter
2017-05-25,"The Amazon chief executive was briefly the richest person in the world, by one reckoning, but then the company issued a disappointing earnings report"
2017-05-26,Republicans failure to repeal the Obamaera health care law puts a tax overhaul up front But CEOs may be worried about the fate of that as well
2017-05-27,The Trump administration has proposed selling off portions of a vast system that produces nearly half of the nations hydropower electricity
2017-05-30,"The company already has one of the most spectacular records in stock market history, enriching investors and making its founder a wealthy man Wall Street would probably have pummeled any other retailer that turned in the kind of performance Amazon reported Thursday profits that were less than a third of what analysts had expected Heres what you need to know to start your day"
2017-06-01,"A bump in the price of Amazon shares was enough to move Mr Bezos, briefly, above Mr Gates, the Microsoft cofounder Multiple antivirus applications generally do not coexist well together on the computer because they need to monitor the same areas of your system Heres what you need to know at the end of the day"
2017-06-02,Heres what you need to know to start your day Heres what you need to know to start your day
2017-06-03,"Max Brookss new novel has an unusual feature It can also be played within a video game For years, Apple was the innovative leader in personal computers Not anymore"
2017-06-04,A company known for its software and its failure to make good gadgets is making advances in personal computers Consider the ingenuity of the Surface Studio bigscreen desktop
2017-06-05,"One of the first applications for Windows will no longer be actively developed, the company said, pushing the program closer to being discontinued"
2017-06-06,"The recent struggles of Apple, LinkedIn and Facebook show why the number of tech companies willing to have a try in China is dwindling With owners, players, a president and a coach who are all women, the Storm held a rally for Planned Parenthood as they hosted the leagues AllStar Game Skeptics scoffed when Blake Irving vowed to reform the internet business built on salacious television ads But the change is looking real Kohlberg Kravis Roberts is buying a dotcom survivor to merge it with its Internet Brands portfolio company"
2017-06-07,"The Breakdown conversation starters and context, drawn from the days news in Australia Exhibit A for investors bullish on the companys future helped profitability last quarter more than double from a year ago If you have decided to switch from PC to Mac or vice versa, Apple, Microsoft and other software makers can make the transfer process easier than you might think"
2017-06-08,"Online app stores can be a safer and more convenient way to add programs to your computer and devices, but you may not find everything you want Misscliks, a channel on the video game streaming platform Twitch, aims to be a safe space for underrepresented gamers, with no tolerance for sexism or bullying"
2017-06-09,Readers shared their stories about facing ethical dilemmas at work
2017-06-11,"After  years, Leslie Alexander is ready to sell his team that Forbes is estimating to be worth  billion  and Forbes has underestimated before"
2017-06-12,"John S Varley, the former chief executive, and three other former top managers will answer charges about arrangements with Qatar, and the European Central Banks president will talk policy Charles Scharf will join the bank as chief executive immediately and assume the chairmans role in January after Gerald Hassells retirement The epidemic seems to be waning in other countries, but the threat is not yet past in the United States"
2017-06-14,"HBO leads all the networks with  nominations and Netflix comes in second with  SNL and Westworld received  nominations each Both personal and professional users have seen their accounts suddenly go missing, but there are ways to report the errors, and precautions to take For Arcade Fire, Balenciaga and more, website designs are evoking the days of GeoCities, Windows  and flashing banner ads to be cool"
2017-06-15,"Donald Trump Jrs Russian email thread shows the historical value and irresistible allure of a technology that continues to betray us Flash organizations, modeled on filmmaking, find their way into fields like software and pharmaceuticals, assembling freelancers and then disbanding"
2017-06-16,"The law requires companies to store Chinese users information in China, and Apples move suggests other foreign technology companies may have to do the same Several wellknown security companies offer free versions of their full software suites for Windows and Mac"
2017-06-17,The software company on Tuesday plans to roll out a white spaces broadband service to connect rural Americans to highspeed internet A veteran political reporter takes stock of how Washington has  and hasnt  changed in the time of Trump
2017-06-19,"Smart Catch, created by a founder of Microsoft and backed by the James Beard Foundation, helps restaurants serve more sustainable fish Microsoft plans to use unused channels between television broadcasts for broadband service, which could help rural Americans connect to the internet As the rise of AI creates demand for new computing hardware, the giant chip maker is using acquisitions and new products to try to stay ahead"
2017-06-20,No one looks beyond the shortterm effects of the many hormone injections needed to stimulate the release of multiple eggs at one time Two cases  one involving cell site location and the other emails  may determine how digital information fits under Fourth Amendment protections
2017-06-21,States can take steps to make voting systems more secure from hackers
2017-06-22,Among the companies targeted was a firm that operates a nuclear power plant in Kansas It is not clear who was responsible An attack that started in Ukraine and spread throughout the world is still causing headaches for a number of big companies
2017-06-23,News of the cuts comes a week after the company described sweeping changes that will shift resources to selling cloudcomputing services
2017-06-24,"Two separate takeover bids for Britains Worldpay, including one by JPMorgan Chase, signal the latest battle to control how consumers pay for goods"
2017-06-27,"After issuing a record  billion fine in an antitrust case, the blocs competition commission is preparing to aggressively police other technology giants Microsoft recently issued an emergency patch for the operating system it retired in , but the company has no plans to restore full support The National Security Agency is so shrouded in mystery that its not even clear whether it knows how its weapons were stolen"
2017-06-28,"Programs promoting a skillsbased labor market are gaining momentum and changing the way people are hired and trained for tech and other jobs A new startup incubator in Paris symbolizes Frances tech ambitions, but can the land of the hour workweek overcome its cultural and regulatory barriers to surpass London and other tech hubs Hackers in two global attacks have used cyberweapons stolen from a dangerous collection that had been amassed by the agency A former bureau chief reflects on The Timess transformation in the Asian hub Once courted, then spurned, the smaller rival sought revenge for years Now Europes regulators give it reason to cheer"
